ide_detudc,con_udc,con_detudc,dsc_desc1,dsc_desc2
90000,9,0,NO ESPECIFICADO,
90001,9,1,AGUASCALIENTES,Ags.
90002,9,2,BAJA CALIFORNIA,B.C.N.
90003,9,3,BAJA CALIFORNIA SUR,B.C.S.
90004,9,4,CAMPECHE,Camp.
90005,9,5,CHIAPAS,Chiaps
90006,9,6,CHIHUAHUA,Chih.
90007,9,7,COAHUILA,Coah.
90008,9,8,COLIMA ,Col.
90009,9,9,DISTRITO FEDERAL,D.F.
90010,9,10,DURANGO ,Dgo.
90011,9,11,GUANAJUATO,Gto.
90012,9,12,GUERRERO,Gro.
90013,9,13,HIDALGO ,Hgo.
90014,9,14,JALISCO,Jal.
90015,9,15,ESTADO DE MEXICO,Edo.Mex
90016,9,16,MICHOACAN,Mich.
90017,9,17,MORELOS,Mor.
90018,9,18,NAYARIT ,Nay
90019,9,19,NUEVO LEON,N.L.
90020,9,20,OAXACA,Oax.
90021,9,21,PUEBLA,Pue.
90022,9,22,QUERETARO,Qro.
90023,9,23,QUINTANA ROO,Q.Roo
90024,9,24,SAN LUIS POTOSI,S.L.P.
90025,9,25,SINALOA ,Sin.
90026,9,26,SONORA,Son.
90027,9,27,TABASCO ,Tab.
90028,9,28,TAMAULIPAS,Tamps.
90029,9,29,TLAXCALA,Tlax.
90030,9,30,VERACRUZ,Ver.
90031,9,31,YUCATAN ,Yuc.
90032,9,32,ZACATECAS,Zac.
